cohort,review_bucket,skill_id,skill_name,skill_md_path
popular,security_high,wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md,secrets-management,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md/content/SKILL.md
popular,security_high,wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md,auth-implementation-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md/content/SKILL.md
popular,structure_heavy,anthropics-skills-skills-canvas-design-skill-md,canvas-design,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-canvas-design-skill-md/content/SKILL.md
popular,structure_heavy,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-deepspeed-skill-md,deepspeed,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-deepspeed-skill-md/content/SKILL.md
popular,instruction_long,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-pytorch-fsdp-skill-md,pytorch-fsdp,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-pytorch-fsdp-skill-md/content/SKILL.md
popular,instruction_long,leonardomso-33-js-concepts-claude-skills-write-concept-skill-md,write-concept,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/leonardomso-33-js-concepts-claude-skills-write-concept-skill-md/content/SKILL.md
random,security_high,iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md,encrypt-secret,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md/content/SKILL.md
random,security_high,supercorks-agent-skills-slack-reader-skill-md,slack-reader,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/supercorks-agent-skills-slack-reader-skill-md/content/SKILL.md
random,structure_heavy,henriquemoreira-f-droid-factory-template-skills-browser-skill-md,browser,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/henriquemoreira-f-droid-factory-template-skills-browser-skill-md/content/SKILL.md
random,structure_heavy,benchflow-ai-skillsbench-tasks-no-skills-organize-messy-files-environment-skills-docx-skill-md,docx,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/benchflow-ai-skillsbench-tasks-no-skills-organize-messy-files-environment-skills-docx-skill-md/content/SKILL.md
random,instruction_long,catlog22-claude-code-workflow-codex-skills-analyze-with-file-skill-md,analyze-with-file,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/catlog22-claude-code-workflow-codex-skills-analyze-with-file-skill-md/content/SKILL.md
random,instruction_long,wighawag-hardhat-deploy-skills-hardhat-deploy-migration-skill-md,hardhat-deploy-migration,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/wighawag-hardhat-deploy-skills-hardhat-deploy-migration-skill-md/content/SKILL.md
